In-Game Name	Description/Context	Dialogue	Speaker	Flags
msg_marb_opening_24	^^^	(Hope that worked...)	Marb	
msg_marb_opening_25	^^^	A map of the ship should've appeared on your HUD just now.	Marb	
msg_marb_opening_26	^^^	So just bring power to each of the rooms,	Marb	
msg_marb_opening_27	^^^	and that'll activate, uh, the main engines!	Marb	
msg_marb_opening_28	^^^	And, once the engine's on, uh,	Marb	
msg_marb_opening_29	^^^	you can get out and get your paycheck!	Marb	
msg_marb_opening_30	^^^	So...	Marb	
msg_marb_opening_31	^^^	Good luck!	Marb	
msg_marb_open_door_1	Plays right before Marb opens the initial door to the space station for the first time.	Oh wait, I was supposed to unlock that door.	Marb	
msg_marb_open_door_2	^^^	My bad.	Marb	
msg_marb_open_door_3	^^^			
msg_marb_open_door_4	^^^			flg_open_first_door
msg_marb_open_door_5	^^^	There, NOW you can do your job.	Marb	
msg_marb_skip_opening_1	Plays when starting a run after clearing out the tutorial for the first time.	Oh, uh, you have the Completion Key!	Marb	flg_skipped_opening
msg_marb_skip_opening_2	^^^	Guess you already know what's going on then.	Marb	
msg_marb_skip_opening_3	^^^			flg_activate_hud
msg_marb_skip_opening_4	^^^			flg_open_first_door
msg_marb_skip_opening_5	^^^	Kay, uh, your HUD's up and the door's open, so,	Marb	
msg_marb_skip_opening_6	^^^	Good luck!	Marb	
msg_marb_explain_cleanup_1	Plays when the player enters the first node for the first time. Explains how the cleanup system works.	Oh yeah, one more thing.	Marb	
msg_marb_explain_cleanup_2	^^^	Since you're here, the higher-ups figured	Marb	
msg_marb_explain_cleanup_3	^^^	you might as well clean the place up.	Marb	
msg_marb_explain_cleanup_4	^^^	In each room you enter, 	Marb	
msg_marb_explain_cleanup_5	^^^	you should see everything that has to be done	Marb	
msg_marb_explain_cleanup_6	^^^	in order to make the place presentable for rehabilitation.	Marb	
msg_marb_explain_cleanup_7	^^^	That's why you have those cleaning supplies on you.	Marb	
msg_marb_explain_cleanup_8	^^^			
msg_marb_explain_cleanup_9	^^^	In case you were wondering.	Marb	
msg_marb_explain_cleanup_10	^^^			
msg_marb_explain_cleanup_11	^^^	I-It's not like you're getting nothing for cleaning up or anything!	Marb	
msg_marb_explain_cleanup_12	^^^	The more you clean up, the more I can add to your paycheck!	Marb	
msg_marb_explain_cleanup_13	^^^	So there's, uh, that.	Marb	
msg_marb_explain_cleanup_14	^^^	A-And you don't have to clean up or anything if you don't want to!	Marb	
msg_marb_explain_cleanup_15	^^^	Th-They just thought it'd be efficient.	Marb	
msg_marb_explain_cleanup_16	^^^			
msg_marb_explain_cleanup_17	^^^	(Man, not being able to hear the person I'm talking to <i>really</i> sucks.)	Marb	
